,id,url,type,age,gender,size,coat,breed,photos,med_photos
547,36568663,https://www.petfinder.com/cat/kiwi-36568663/nc/concord/humane-society-of-concord-and-greater-cabarrus-co-nc82/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Large,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36568663/1/?bust=1477413023&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36568663/1/?bust=1477413023&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36568663/1/?bust=1477413023&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36568663/1/?bust=1477413023'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36568663/1/?bust=1477413023&width=300']
548,36475679,https://www.petfinder.com/cat/royal-36475679/ga/fayetteville/southern-crescent-canine-rescue-ga744/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/1/?bust=1476449859&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/1/?bust=1476449859&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/1/?bust=1476449859&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/1/?bust=1476449859'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/2/?bust=1476449860&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/2/?bust=1476449860&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/2/?bust=1476449860&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/2/?bust=1476449860'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/1/?bust=1476449859&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36475679/2/?bust=1476449860&width=300']"
549,36451999,https://www.petfinder.com/cat/kit-kat-star-star-free-to-good-home-star-star-36451999/tn/loudon/loudon-county-friends-of-animals-tn767/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/1/?bust=1476218689&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/1/?bust=1476218689&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/1/?bust=1476218689&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/1/?bust=1476218689'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/2/?bust=1476218689&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/2/?bust=1476218689&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/2/?bust=1476218689&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/2/?bust=1476218689'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/3/?bust=1476218690&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/3/?bust=1476218690&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/3/?bust=1476218690&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/3/?bust=1476218690'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/1/?bust=1476218689&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/2/?bust=1476218689&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36451999/3/?bust=1476218690&width=300']"
550,36434845,https://www.petfinder.com/cat/mae-mae-36434845/wv/martinsburg/berkeley-county-humane-society-wv62/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Senior,Female,Large,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36434845/1/?bust=1476028546&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36434845/1/?bust=1476028546&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36434845/1/?bust=1476028546&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36434845/1/?bust=1476028546'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36434845/1/?bust=1476028546&width=300']
551,36324943,https://www.petfinder.com/cat/serenity-bobbie-36324943/tn/nashville/music-city-animal-rescue-tn794/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/2/?bust=1477360410&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/2/?bust=1477360410&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/2/?bust=1477360410&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/2/?bust=1477360410'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/1/?bust=1475541817&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/1/?bust=1475541817&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/1/?bust=1475541817&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/1/?bust=1475541817'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/3/?bust=1477361059&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/3/?bust=1477361059&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/3/?bust=1477361059&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/3/?bust=1477361059'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/2/?bust=1477360410&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/1/?bust=1475541817&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36324943/3/?bust=1477361059&width=300']"
552,36267778,https://www.petfinder.com/cat/bobtail-bobbie-36267778/nc/charlotte/zachs-rescue-nc844/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267778/1/?bust=1495476607&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267778/1/?bust=1495476607&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267778/1/?bust=1495476607&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267778/1/?bust=1495476607'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267778/1/?bust=1495476607&width=300']
553,36267590,https://www.petfinder.com/cat/cami-tales-36267590/nc/charlotte/zachs-rescue-nc844/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Medium,Long,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267590/1/?bust=1495476607&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267590/1/?bust=1495476607&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267590/1/?bust=1495476607&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267590/1/?bust=1495476607'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36267590/1/?bust=1495476607&width=300']
554,36265500,https://www.petfinder.com/cat/peaches-36265500/il/chicago/hi-kitty-kitty-il760/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/1/?bust=1474251499&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/1/?bust=1474251499&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/1/?bust=1474251499&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/1/?bust=1474251499'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/2/?bust=1474251500&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/2/?bust=1474251500&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/2/?bust=1474251500&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/2/?bust=1474251500'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/3/?bust=1474251500&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/3/?bust=1474251500&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/3/?bust=1474251500&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/3/?bust=1474251500'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/1/?bust=1474251499&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/2/?bust=1474251500&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36265500/3/?bust=1474251500&width=300']"
555,36260494,https://www.petfinder.com/cat/buzz-36260494/nc/marvin/animals-first-rescue-of-the-carolinas-nc848/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Male,Medium,,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/2/?bust=1474230890&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/2/?bust=1474230890&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/2/?bust=1474230890&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/2/?bust=1474230890'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/1/?bust=1474934287&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/1/?bust=1474934287&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/1/?bust=1474934287&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/1/?bust=1474934287'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/3/?bust=1474230890&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/3/?bust=1474230890&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/3/?bust=1474230890&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/3/?bust=1474230890'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/2/?bust=1474230890&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/1/?bust=1474934287&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36260494/3/?bust=1474230890&width=300']"
556,36208388,https://www.petfinder.com/cat/patch-tale-36208388/nc/charlotte/zachs-rescue-nc844/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Medium,Long,American Bobtail,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36208388/1/?bust=1495476607&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36208388/1/?bust=1495476607&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36208388/1/?bust=1495476607&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36208388/1/?bust=1495476607'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/36208388/1/?bust=1495476607&width=300']
